"['题目', 'URL']"
英汉时间词特质及其语言蕴含共性,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805001.htm
语序在认知语法“提取和激活”模型中的作用:以副词修饰为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805002.htm
英语分离疑问句的句法生成机制及其论元量化特征研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805003.htm
音系范畴是天赋的还是浮现的?,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805004.htm
汉英关键语言技能对中国学生英语词汇认读的影响研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805005.htm
大学英语有效课堂环境构建及评价的影响机制,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805006.htm
视听输入对二语学习者英汉韵律边界的感知效应研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805007.htm
二语水平对藏-汉-英三语者英语词汇语义通达的影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805008.htm
“一带一路”背景下英语与非英语语种教育问题探讨,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805009.htm
人工翻译和译后编辑中认知加工的眼动实验研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805011.htm
早期儒家典籍英语转译中的文化传播研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805012.htm
《聊斋志异》俄、英译本注释中的文化解读,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201805013.htm
精巧的语言  有意味的形式——汉语谜语语言研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804001.htm
Halliday意义上隐喻式关系小句的意象图式基础,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804002.htm
转喻思维与虚拟位移构式的建构,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804003.htm
汉日“切割”类动词范畴化的跨语言实证研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804004.htm
EFL交际课堂中的偶发型形式聚焦,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804005.htm
汉语母语者对英语量化词语义辖域的习得研究,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804006.htm
中国英语学习者英语虚拟语气加工的ERP研究——以it引导的主语从句为例,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804007.htm
抑制控制能力及其训练对低熟练汉英双语者语言切换代价的影响,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804008.htm
整体外语教学的理念,http://www.cnki.com.cn/Article/CJFDTOTAL-WJYY201804009.htm
